Joint_L0_deg,Joint_L1_deg,Joint_L2_U_deg,Joint_L3_U_deg,Joint_L2_R_deg,Joint_L2_L_deg,Joint_L3_R_deg,Joint_L3_L_deg,Joint_L4_R_deg,Joint_L4_L_deg,Joint_L5_R_deg,Joint_L5_L_deg,Joint_L6_R_deg,Joint_L6_L_deg,Joint_L7_R_deg,Joint_L7_L_deg,Joint_L8_R_deg,Joint_L8_L_deg
0.0004862707864958793,0.0,0.0,0.0,15.484370231628418,-15.485108375549316,86.31098175048828,-86.3113021850586,82.20610046386719,-82.20697784423828,89.0177230834961,-89.0165786743164,95.06377410888672,-95.06507873535156,2.8612098693847656,-2.854160785675049,13.870555877685547,13.870173454284668
0.0005060143303126097,0.0,0.0,0.0,15.574264526367188,-15.574971199035645,87.14195251464844,-87.14226531982422,81.50889587402344,-81.50978088378906,88.89922332763672,-88.8980941772461,94.26467895507812,-94.26598358154297,3.5724477767944336,-3.56540584564209,13.902361869812012,13.901992797851562
0.000519994820933789,0.0,0.0,0.0,15.665276527404785,-15.665993690490723,87.91216278076172,-87.91249084472656,80.8674087524414,-80.8682861328125,88.7496566772461,-88.74858093261719,93.52961730957031,-93.53095245361328,4.227573871612549,-4.220524311065674,13.917661666870117,13.917311668395996
0.000520955363754183,0.0,0.0,0.0,15.754830360412598,-15.755508422851562,88.61537170410156,-88.61569213867188,80.28646850585938,-80.28734588623047,88.58003997802734,-88.5789794921875,92.86416625976562,-92.865478515625,4.822476863861084,-4.815441608428955,13.919748306274414,13.919370651245117
0.0005160461296327412,0.0,0.0,0.0,15.840182304382324,-15.840867042541504,89.2452163696289,-89.24552917480469,79.77052307128906,-79.77141571044922,88.40142059326172,-88.40037536621094,92.2733154296875,-92.274658203125,5.352912425994873,-5.3458685874938965,13.911850929260254,13.911453247070312
0.0005223427433520555,0.0,0.0,0.0,15.918753623962402,-15.919429779052734,89.79533386230469,-89.795654296875,79.32361602783203,-79.32447814941406,88.22486114501953,-88.22386932373047,91.76167297363281,-91.76300048828125,5.814455986022949,-5.807411193847656,13.897353172302246,13.896970748901367
0.0004804344498552382,0.0,0.0,0.0,16.014537811279297,-16.01512908935547,90.0,-90.0,78.79707336425781,-78.7978515625,88.05398559570312,-88.05314636230469,91.46929931640625,-91.47080993652344,6.351572036743164,-6.344712734222412,13.873489379882812,13.87312126159668
0.0004508125130087137,0.0,0.0,0.0,16.150606155395508,-16.151147842407227,90.0,-90.0,78.04136657714844,-78.04209899902344,87.91537475585938,-87.91461181640625,91.53271484375,-91.53431701660156,7.105486869812012,-7.098740100860596,13.846936225891113,13.846529006958008
0.00044023370719514787,0.0,0.0,0.0,16.25552749633789,-16.256025314331055,90.0,-90.0,77.48917388916016,-77.4898910522461,87.80821228027344,-87.80744934082031,91.57972717285156,-91.58134460449219,7.656304836273193,-7.649560928344727,13.826844215393066,13.826367378234863
0.000450552353868261,0.0,0.0,0.0,16.318931579589844,-16.31947135925293,90.0,-90.0,77.16768646240234,-77.16840362548828,87.73995208740234,-87.73921966552734,91.59343719482422,-91.59503173828125,7.9774980545043945,-7.970755100250244,13.81467342376709,13.814262390136719
0.00045089921331964433,0.0,0.0,0.0,16.342824935913086,-16.343345642089844,90.0,-90.0,77.04805755615234,-77.04877471923828,87.71623229980469,-87.71549987792969,91.60710906982422,-91.60870361328125,8.096665382385254,-8.089922904968262,13.810187339782715,13.80974292755127
0.00044812445412389934,0.0,0.0,0.0,16.355531692504883,-16.356061935424805,90.0,-90.0,76.985595703125,-76.98628997802734,87.70072937011719,-87.69999694824219,91.60205841064453,-91.60365295410156,8.159384727478027,-8.152629852294922,13.807683944702148,13.807316780090332
0.00044406900997273624,0.0,0.0,0.0,16.400007247924805,-16.400535583496094,90.0,-90.0,76.76715087890625,-76.76786804199219,87.6553726196289,-87.65463256835938,91.62287139892578,-91.62445831298828,8.377158164978027,-8.370428085327148,13.799348831176758,13.798921585083008
